,,Telugu_Word,
sasj1,,,
savyasAcin,,,
saw,,,
sawawa-yuj2,,,
sawawam,,,
sawkAra-mAna-pUjA-arWa,,,
sawwva,,,
sawwva-anurUpA,,,
sawwva-sWa,,,
sawwva-saMSuxXi,,,
sawwva-sam_Af_viR2,,,
sawwvavaw,,,
sawya,,,
sax-BAva,,,
sax-asax-yoni-janman,,,
sax1,,,
saxA,,,
saxqSI,,,
saxqSa,,,
senA,,,
senAnin,,,
sev1,,,
sevA,,,
siMhanAxa,,,
siX3,,,
sixXa,,,
sixXa-safGa,,,
sixXi,,,
sixXi-asixXi,,,
skanxa,,,
sma,,,
smq1,,,
smqwi,,,
smqwi-BraMSa,,,
smqwi-viBrama,,,
snigXa,,,
soma,,,
soma-pA,,,
sparSa,,,
sparSana,,,
spqS1,,,
spqhA,,,
sqj2,,,
sqwi,,,
sraMs1,,,
sru1_Nic,,,
su-virUDa-mUla,,,
su-xur-xarSa,,,
su-xurAcAra,,,
su-xurlaBa,,,
suGoRa-maNipuRpaka,,,
suKa,,,
suKa-safga,,,
suKa-xuHKa,,,
suKa-xuHKa-saFjFa,,,
suKin,,,
suhqx,,,
suhqx-miwra-ari-uxAsIna-maXyasWa-xveRya-banXu,,,
sukqw,,,
sukqwa,,,
sukqwa-xuRkqwa,,,
sukqwin,,,
sulaBa,,,
suniSciwa,,,
sura,,,
sura-gaNa,,,
sura-inxra-loka,,,
sura-safGa,,,
susuKa,,,
suxuRkara,,,
svA,,,
svAXyAya,,,
svAXyAya-aByasana,,,
sva,,,
sva-Xarma,,,
sva-aXyAya-jFAna-yajFa,,,
sva-anuRTiwa,,,
sva-bAnXava,,,
sva-cakRus,,,
sva-jana,,,
sva-karman,,,
sva-karman-nirawa,,,
sva-wejas,,,
svaBAva,,,
svaBAva-jA,,,
svaBAva-ja,,,
svaBAva-niyawa,,,
svaBAva-praBava,,,
svaXA,,,
svaXarma,,,
svaka,,,
svalpa,,,
svap1,,,
svapna,,,
svar-gawi,,,
svarga,,,
svarga-loka,,,
svarga-para,,,
svarga-xvAra,,,
svasWa,,,
svaswi,,,
svayam,,,
swabXa,,,
swamB1,,,
swena,,,
swrI,,,
swu1,,,
swuwi,,,
syanxana,,,
uBa,,,
uBaya-viBraRta,,,
uRma-pA,,,
uSanA,,,
ucCiRta,,,
ucCoRaNa,,,
uccEHSravasa,,,
ucca,,,
ugrA,,,
ugra,,,
ugra-karman,,,
ugra-rUpa,,,
ulba,,,
upAyawaH,,,
upa_Af_Sri1,,,
upa_As1,,,
upa_Sri1,,,
upa_Xq1_Nic,,,
upa_han1,,,
upa_hu1,,,
upa_i1,,,
upa_jan2,,,
upa_jan3,,,
upa_laB1,,,
upa_lip1,,,
upa_pax1,,,
upa_ram1,,,
upa_sam_gam1,,,
upa_sev1,,,
upa_viS1,,,
upa_xiS1,,,
upa_xqS1,,,
upa_yA1,,,
upamA,,,
uraga,,,
uw_Af_hq1,,,
uw_hq1,,,
uw_kram1,,,
uw_miR1,,,
uw_sax1,,,
uw_sqj2,,,
uwa,,,
uwsanna-kula-Xarma,,,
uwwamOjas,,,
uwwama,,,
uwwama-afga,,,
uwwama-vix,,,
uwwarAyaNa,,,
ux-sAxana,,,
uxAra,,,
uxAsIna,,,
uxAsInavaw,,,
uxBava,,,
ux_sWA1,,,
ux_vij2,,,
ux_xiS1,,,
ux_yam1,,,
ux_yam2,,,
uxan-pAna,,,
uxxeSa,,,
vA,,,
vAc,,,
vAfmaya,,,
vAkya,,,
vArRNeya,,,
vAsa,,,
vAsas,,,
vAsava,,,
vAsuki,,,
vAsuxeva,,,
vAxa,,,
vAxin,,,
vAyu,,,
vESvAnara,,,
vESya,,,
vESya-karman,,,
vEnaweya,,,
vErAgya,,,
vErin,,,
vIryavaw,,,
vIwa-rAga,,,
vIwa-rAga-Baya-kroXa,,,
vaSa,,,
vaSin,,,
vaSya-Awman,,,
vac1,,,
vacana,,,
vacas,,,
vah1,,,
vahni,,,
vajra,,,
vakwra,,,
varNa-safkara,,,
varNa-safkara-kAraka,,,
varRa,,,
vara,,,
varuNa,,,
varwamAna,,,
varwman,,,
vas1,,,
vasu,,,
vax1,,,
vaxana,,,
vega,,,
vep1,,,
vepaWu,,,
vewwq,,,
vexAnwa-kqw,,,
vexa,,,
vexa-vAxa-rawa,,,
vexa-vix,,,
vexa-yajFa-aXyayana,,,
vi-nivqwwa-kAma,,,
viBAvasu,,,
viBUwi,,,
viBUwimaw,,,
viBu,,,
viRAxa,,,
viRAxin,,,
viRNu,,,
viRa,,,
viRama,,,
viRaya,,,
viRaya-inxriya-saMyoga,,,
viRaya-pravAla,,,
viS1,,,
viSAla,,,
viSiRta,,,
viSuxXA,,,
viSuxXa-Awman,,,
viSva,,,
viSva-mUrwi,,,
viSva-rUpa,,,
viSvawaH-muKa,,,
viSveSvara,,,
viXAna-vac1,,,
viXeya-Awman,,,
viXi-hIna,,,
viXi-xqS1,,,
vi_Af_hq1,,,
vi_Ap1,,,
vi_Baj1,,,
vi_IkR1,,,
vi_Nax2,,,
vi_SAs1,,,
vi_XA1,,,
vi_XI1,,,
vi_anu_nax2,,,
vi_apa_Af_Sri1,,,
vi_ava_sWA1,,,
vi_ava_si1,,,
vi_awi_i1,,,
vi_awi_wQ1,,,
vi_cal1_Nic,,,
vi_gam1,,,
vi_hA2,,,
vi_jFA1,,,
vi_jFA2,,,
vi_kamp1,,,
vi_laj2,,,
vi_mqS1,,,
vi_muc1,,,
vi_muh1,,,
vi_muh1_Nic,,,
vi_naS1,,,
vi_ni_vqw1,,,
vi_ni_yam2,,,
vi_pari_vqw1,,,
vi_sWA1,,,
vi_sax1,,,
vi_smi1,,,
vi_sqj2,,,
vi_swamB1,,,
vi_uw_as2,,,
vi_vqX1,,,
vi_xQ2_Nic,,,
vicakRaNa,,,
vicewas,,,
vigawa-BI,,,
vigawa-icCA-Baya-kroXa,,,
vigawa-jvara,,,
vigawa-kalmaRa,,,
vigawa-spqha,,,
viguNa,,,
vihAra-SayyA-Asana-Bojana,,,
vijFAna,,,
vijFAna-sahiwa,,,
vijaya,,,
vijiwa-Awman,,,
vijiwa-inxriya,,,
vikAra,,,
vikarNa,,,
vikarman,,,
vikrAnwa,,,
vimUDa,,,
vimUDa-Awman,,,
vimUDa-BAva,,,
vimawsara,,,
vimokRa,,,
vinA,,,
vinASa,,,
viniSciwa,,,
viniyawa,,,
vipaSciw,,,
viparIwa,,,
virAta,,,
visarga,,,
vismaya,,,
vismaya-Af_viR2,,,
viswAra,,,
viswara,,,
viswaraSaH,,,
vivasvaw,,,
viviXA,,,
viviXa,,,
vivikwa-sevin,,,
vivikwa-xeSa-seviwva,,,
viwweSa,,,
vix1,,,
vix2,,,
vix3,,,
vixiwa-Awman,,,
vixvas,,,
vixyA,,,
vixyA-vinaya-sampanna,,,
vqRNi,,,
vqjina,,,
vqkoxara,,,
vqw1,,,
vqwa1,,,
vraj1,,,
vyAmiSra,,,
vyAsa,,,
vyAsa-prasAxa,,,
vyAwa-Anana,,,
vyUDA,,,
vyUDa,,,
vyaW1,,,
vyaW1_Nic,,,
vyaWA,,,
vyakwa-maXya,,,
vyakwi,,,
vyapewa-BI,,,
vyavasAya,,,
vyavasAya-AwmikA,,,
vyavasWiwa,,,
wAmasI,,,
wAmasa,,,
wAmasa-priya,,,
wAvaw,,,
wAwa,,,
wQ1,,,
wURNIm,,,
waWA,,,
waWApi,,,
waWEva,,,
wamas,,,
wamas-xvAra,,,
wan1,,,
wanu,,,
wap1,,,
wapas,,,
wapas-yajFa,,,
wapasvin,,,
wapasya,,,
warhi,,,
wasmAw,,,
wawa,,,
wawaH,,,
wawpara,,,
wawra,,,
wawwva,,,
wawwva-jFAna-arWa-xarSana,,,
wawwva-xarSin,,,
wawwvavix,,,
wawwvawaH,,,
wax,,,
wax-Awman,,,
wax-BAva-BAviwa,,,
wax-arWIya,,,
wax-arWa,,,
wax-buxXi,,,
wax-niRTA,,,
wax-parAyaNA,,,
wax-para,,,
wax-prasAxa,,,
wax-samakRa,,,
wax-vix,,,
waxA,,,
waxananwaram,,,
waxsarvanAma,,,
waxvaw,,,
wejas,,,
wejas-aMSa-sam_BU1,,,
wejas-rASi,,,
wejasvin,,,
wejomaya,,,
wij1,,,
woya,,,
wqRNA-safga-samuxBava,,,
wqpwi,,,
wrE1,,,
wrEguNya-viRaya,,,
wrElokya-rAjya,,,
wrEvixya,,,
wrayI-Xarma,,,
wraya,,,
wri,,,
wri-viXA,,,
wri-viXa,,,
wriXA,,,
wriviXA,,,
wriviXa,,,
wu,,,
wuR1,,,
wuRti,,,
wulya,,,
wulya-ninxA-Awman-saMswuwi,,,
wulya-ninxA-swuwi,,,
wulya-priya-apriya,,,
wumula,,,
wvac,,,
wvar1,,,
wvaw-prasAxa,,,
wvawwaH,,,
wvax-anya,,,
wvax-sama,,,
wyAga,,,
wyAga-Pala,,,
wyAgin,,,
wyaj1,,,
wyakwa-jIviwa,,,
wyakwa-sarva-parigraha,,,
xA3,,,
xAkRya,,,
xAna,,,
xAna-kriyA,,,
xAnava,,,
xEvI,,,
xEva,,,
xEwya,,,
xIp1,,,
xIpa,,,
xIpwa-anala-arka-xyuwi,,,
xIpwa-huwASa-vakwra,,,
xIpwa-viSAla-newra,,,
xIpwimaw,,,
xIrGasUwrin,,,
xUra-sWa,,,
xUreNa,,,
xaMRtrA-karAla,,,
xaNda,,,
xaSan,,,
xaSana-anwara,,,
xah1,,,
xakRa,,,
xakRiNAyana,,,
xam1_Nic,,,
xamBa,,,
xamBa-ahafkAra-sam_yuj2,,,
xamBa-arWa,,,
xamBa-mAna-maxa-anviwa,,,
xama,,,
xarSana-kAfkRin,,,
xarpa,,,
xayA,,,
xeSa,,,
xehAnwara-prApwi,,,
xeha,,,
xeha-Bqw,,,
xeha-samuxBava,,,
xehavax,,,
xehin,,,
xeva,,,
xeva-Boga,,,
xeva-qRi,,,
xeva-rUpa,,,
xeva-vara,,,
xeva-vrawa,,,
xeva-xeva,,,
xeva-xvija-guru-prAjFa-pUjana,,,
xeva-yajas,,,
xevala,,,
xevawA,,,
xevaxawwa,,,
xeveSa,,,
xiS,,,
xiv,,,
xivya,,,
xivya-aneka-uxyawa-AyuXa,,,
xivya-ganXa-anulepana,,,
xivya-mAlya-ambara-Xara,,,
xoRa,,,
xoRavaw,,,
xqDa,,,
xqDa-niScaya,,,
xqDa-vrawa,,,
xqRta-pUrva,,,
xqRti,,,
xqRtq,,,
xqS1,,,
xqS1_Nic,,,
xrOpaxeya,,,
xravya-yajFa,,,
xravyamaya,,,
xroNa,,,
xru1,,,
xrupaxa,,,
xrupaxa-puwra,,,
xuHKa,,,
xuHKa-Alaya,,,
xuHKa-Soka-Amaya-praxa,,,
xuHKa-anwa,,,
xuHKa-han,,,
xuHKa-saMyoga-viyoga,,,
xuHKa-yoni,,,
xuHKawara,,,
xuRkqw,,,
xuRkqwin,,,
xuRpUra,,,
xuRtA,,,
xur-gawi,,,
xur-mawi,,,
xur-meXas,,,
xur-nigraha,,,
xur-nir_IkR1,,,
xurAsaxa,,,
xurawyayA,,,
xurbuxXi,,,
xurlaBawara,,,
xuryoXana,,,
xus_pra_Ap1,,,
xvAra,,,
xvanxva,,,
xvanxva-awIwa,,,
xvanxva-moha,,,
xvanxva-moha-nir_muc1,,,
xveRa,,,
xveRya,,,
xvi,,,
xviR1,,,
xvija-uwwama,,,
xviviXA,,,
xyAvA-pqWivI,,,
xyUwa,,,
yA1,,,
yAvaw,,,
yAwa-yAma,,,
yAxas,,,
yAxava,,,
yAxqS,,,
yOvana,,,
yaSas,,,
yaWA,,,
yaWA-BAga,,,
yaWAvaw,,,
yaj1,,,
yajFa,,,
yajFa-SiRtA-aSin,,,
yajFa-SiRta-amqwa-Buja,,,
yajFa-arWa,,,
yajFa-wapas,,,
yajFa-wapas-kriyA,,,
yajFa-xAna-wapas-karman,,,
yajFa-xAna-wapas-kriyA,,,
yajFaBAviwa,,,
yajFakRapiwa-kalmaRa,,,
yajFavix,,,
yajus,,,
yakRa-rakRas,,,
yama,,,
yanwra-Af_ruh1,,,
yasmAw,,,
yaw,,,
yaw1,,,
yawa,,,
yawa-Awman,,,
yawa-cewas,,,
yawa-ciwwa,,,
yawa-ciwwa-Awman,,,
yawa-ciwwa-inxriya-kriya,,,
yawa-inxriya-manas-buxXi,,,
yawa-vAc-kAya-mAnasa,,,
yawaH,,,
yawi,,,
yawra,,,
yax,,,
yax-Awman,,,
yax-Awmavaw,,,
yax-SraxXa,,,
yax-praBAva,,,
yax-vikArin,,,
yaxA,,,
yaxi,,,
yaxqcCA,,,
yaxqcCA-lABa-sanwuRta,,,
yaxvA,,,
yaxvaw,,,
yaxyapi,,,
yoXa,,,
yoXa-muKya,,,
yoXa-vIra,,,
yoga,,,
yoga-ArUDa,,,
yoga-BraRta,,,
yoga-XAraNA,,,
yoga-bala,,,
yoga-kRema,,,
yoga-sWa,,,
yoga-saFjFiwa,,,
yoga-saMsixXa,,,
yoga-saMsixXi,,,
yoga-sannyaswa-karman,,,
yoga-sevA,,,
yoga-viwwama,,,
yoga-yajFa,,,
yoga-yuj2,,,
yoga-yukwa,,,
yoga-yukwa-Awman,,,
yogamAyA-samAvqwa,,,
yogeSvara,,,
yogin,,,
yoginpuM 1 eka,,,
yoni,,,
yowsyamAna,,,
yoxXu-kAma,,,
yuRmax,,,
yuX,,,
yuX1,,,
yuXAmanyu,,,
yuXiRTira,,,
yuga,,,
yuga-sahasra-anwA,,,
yugapaw,,,
yuj1,,,
yuj2,,,
yukwa,,,
yukwa-AhAra-vihAra,,,
yukwa-Awman,,,
yukwa-svapna-avaboXa,,,
yukwa-wama,,,
yukwaceRta,,,
yukwacewas,,,
yukwawama,,,
yuxXa,,,
yuxXa-viSAraxa,,,
yuyuXAna,,,
yuyuwsu,,,
